Rank,Model,AUC-ROC,Recall,F1-Score,Precision
1,LightGBM (Tuned),0.8695057052849213,0.7900249376558603,0.3359847279669106,0.21336206896551724
2,XGBoost (Tuned),0.8688522220079379,0.7795511221945137,0.34015233949945595,0.2175365344467641
3,LightGBM (Default),0.8671874787045603,0.771072319201995,0.34279379157427936,0.2203848895224519
4,Logistic Regression,0.8609851509821622,0.7615960099750624,0.33556752005274143,0.21519165727170236
5,LinearSVC,0.8574366013881175,0.0658354114713217,0.11822660098522167,0.5789473684210527
6,XGBoost (Default),0.8506042716035416,0.7042394014962593,0.353441802252816,0.2359231411862991
7,Random Forest,0.8335452135868582,0.16708229426433915,0.2566066641133665,0.5528052805280528
