Model,Threshold,Recall_default,Recall_optimized,F1_default,F1_optimized,Precision_default,Precision_optimized,Recall_change,F1_change
Logistic Regression,0.50 → 0.80,0.7615960099750624,0.4937655860349127,0.33556752005274143,0.4321257092972501,0.21519165727170236,0.3841676367869616,-0.26783042394014966,0.09655818924450865
LinearSVC,0.50 → 0.22,0.0658354114713217,0.4937655860349127,0.11822660098522167,0.41457286432160806,0.5789473684210527,0.35727174305304943,0.427930174563591,0.29634626333638636
Random Forest,0.50 → 0.19,0.16708229426433915,0.5122194513715711,0.2566066641133665,0.4054480852743782,0.5528052805280528,0.33551127082652726,0.3451371571072319,0.14884142116101168
XGBoost,0.50 → 0.75,0.7042394014962593,0.48478802992518705,0.353441802252816,0.42482517482517484,0.2359231411862991,0.3780630105017503,-0.21945137157107225,0.07138337257235883
LightGBM,0.50 → 0.76,0.771072319201995,0.5231920199501247,0.34279379157427936,0.44714407502131287,0.2203848895224519,0.3903982136211388,-0.24788029925187038,0.10435028344703351
