Model,AUC-ROC,Recall,F1-Score,Precision,AUC-ROC_Rank,Recall_Rank,F1-Score_Rank,Precision_Rank,Avg_Rank
LightGBM,0.8671874787045603,0.771072319201995,0.34279379157427936,0.2203848895224519,1,1,2,4,2.0
XGBoost,0.8506042716035416,0.7042394014962593,0.353441802252816,0.2359231411862991,4,3,1,3,2.75
Logistic Regression,0.8609851509821622,0.7615960099750624,0.33556752005274143,0.21519165727170236,2,2,3,5,3.0
LinearSVC,0.8574366013881175,0.0658354114713217,0.11822660098522167,0.5789473684210527,3,5,5,1,3.5
Random Forest,0.8335452135868582,0.16708229426433915,0.2566066641133665,0.5528052805280528,5,4,4,2,3.75
